79:1,43,5,LAPTOP#GENERAL,positive,Ten komputer jest absolutnie niesamowity!!!
79:2,29,5,BATTERY,positive,10 godzin pracy na baterii...
79:3,58,8,CPU,positive,super szybki procesor i naprawdę niezła karta graficzna...
79:3,58,8,GRAPHICS,positive,super szybki procesor i naprawdę niezła karta graficzna...
79:4,70,13,HARD_DISC,positive,i dużo pamięci 250 GB (choć będę ją rozbudowywał wraz z pamięcią ram).
79:5,95,16,LAPTOP#OPERATION_PERFORMANCE,positive,"Ten komputer jest naprawdę szybki i jestem w szoku, jak łatwo jest się do niego przyzwyczaić..."
79:5,95,16,LAPTOP#USABILITY,positive,"Ten komputer jest naprawdę szybki i jestem w szoku, jak łatwo jest się do niego przyzwyczaić..."
79:6,66,11,LAPTOP#USABILITY,positive,"Mam go dopiero jeden dzień, ale już się do niego przyzwyczaiłem..."
79:8,69,9,LAPTOP#PORTABILITY,positive,KUP TEN KOMPUTER DLA PRZENOŚNOŚCI I SZYBKIEGO PRZETWARZANIA DANYCH!!!
79:8,69,9,CPU,positive,KUP TEN KOMPUTER DLA PRZENOŚNOŚCI I SZYBKIEGO PRZETWARZANIA DANYCH!!!
10:0,87,14,LAPTOP#GENERAL,positive,"Laptop był naprawdę dobry i idzie naprawdę szybko, tak jak myślałem, że będzie działać."
10:0,87,14,LAPTOP#OPERATION_PERFORMANCE,positive,"Laptop był naprawdę dobry i idzie naprawdę szybko, tak jak myślałem, że będzie działać."
10:1,69,10,LAPTOP#GENERAL,positive,"Naprawdę polecam każdej osobie zakup tego laptopa, bo naprawdę warto."
10:2,51,9,LAPTOP#PRICE,positive,i jest naprawdę tani i nie będziesz żałował zakupu.
10:2,51,9,LAPTOP#GENERAL,positive,i jest naprawdę tani i nie będziesz żałował zakupu.
24:0,48,8,LAPTOP#GENERAL,negative,O mój Boże - nie jestem szczęśliwym posiadaczem.
24:1,26,5,LAPTOP#DESIGN_FEATURES,negative,Mój HP jest bardzo ciężki.
24:2,31,5,LAPTOP#PORTABILITY,negative,Nie jest łatwy do przenoszenia.
24:3,34,5,BATTERY,negative,Bateria nigdy nie działała dobrze.
24:4,51,9,BATTERY,negative,"Bateria robi się tak gorąca, że to aż przerażające."
24:5,46,9,SUPPORT,negative,Jednak HP nie chce nic zrobić z tym problemem.
